question_id,mode,image,gt_answer,answer_extracted,bbox_iou,error_type,notes
4191,center_bbox,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes,0.4718797407254172,,
2341,center_bbox,cot/cub/098.Scott_Oriole/Scott_Oriole_0018_795840.jpg,Yes,No,0.3927813163481954,,
3303,center_bbox,cot/cub/138.Tree_Swallow/Tree_Swallow_0029_134882.jpg,No,Yes,0.30441599999999985,,
311,center_bbox,cot/cub/015.Lazuli_Bunting/Lazuli_Bunting_0042_14820.jpg,No,"Yes, the bird has a brown throat and grey underparts.",0.3636596378531863,,
135,center_bbox,cot/cub/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,No,Yes,0.5787203565684761,,
1624,center_bbox,cot/cub/070.Green_Violetear/Green_Violetear_0003_795662.jpg,Yes,No.,0.6076810889645115,,
3306,center_bbox,cot/cub/139.Scarlet_Tanager/Scarlet_Tanager_0050_137874.jpg,Yes,"No, the bird has a solid belly and a black breast.",0.569088,,
4281,center_bbox,cot/cub/177.Prothonotary_Warbler/Prothonotary_Warbler_0040_173447.jpg,Yes,No.,0.4101760860547284,,
4331,center_bbox,cot/cub/179.Tennessee_Warbler/Tennessee_Warbler_0076_174807.jpg,No,Yes.,0.1629139072847682,,
437,center_bbox,cot/cub/021.Eastern_Towhee/Eastern_Towhee_0134_22624.jpg,Yes,"No, the bird does not have pink legs or a brown forehead.",0.5374980353278281,,
2017,center_bbox,cot/cub/085.Horned_Lark/Horned_Lark_0056_74896.jpg,No,Yes.,0.5575568712994704,,
4714,center_bbox,cot/cub/193.Bewick_Wren/Bewick_Wren_0109_185170.jpg,No,Yes.,0.20007968860146505,,
40,center_bbox,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,No,"Yes, the bird in the picture has orange wing feathers and a buff eye.",0.6498641128510417,,
186,center_bbox,cot/cub/010.Red_winged_Blackbird/Red_Winged_Blackbird_0053_4072.jpg,Yes,"No, the bird in the picture has a red head and a black bill.",0.4079999999999999,,
1785,center_bbox,cot/cub/076.Dark_eyed_Junco/Dark_Eyed_Junco_0083_66449.jpg,No,"Yes, the bird in the picture has an olive eye and a green leg.",0.645824546604808,,
3596,center_bbox,cot/cub/149.Brown_Thrasher/Brown_Thrasher_0065_155229.jpg,No,"Yes, the bird in the picture has a rufous eye and a red upper.",0.7854989150956686,,
907,center_bbox,cot/cub/041.Scissor_tailed_Flycatcher/Scissor_Tailed_Flycatcher_0103_41938.jpg,No,Yes.,0.47353599999999996,,
4191,crop_only,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes.,0.5565794177225243,,
4073,crop_only,cot/cub/169.Magnolia_Warbler/Magnolia_Warbler_0111_165478.jpg,Yes,No.,0.3243962500540027,,
3802,crop_only,cot/cub/157.Yellow_throated_Vireo/Yellow_Throated_Vireo_0048_794982.jpg,No,Yes,0.3971142597166254,,
1608,crop_only,cot/cub/069.Rufous_Hummingbird/Rufous_Hummingbird_0130_59500.jpg,Yes,No.,0.07188537082140464,,
2341,crop_only,cot/cub/098.Scott_Oriole/Scott_Oriole_0018_795840.jpg,Yes,No.,0.33096346117619163,,
45,crop_only,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,No,Yes.,0.8774222147169332,,
3303,crop_only,cot/cub/138.Tree_Swallow/Tree_Swallow_0029_134882.jpg,No,Yes,0.25523012552301244,,
2399,crop_only,cot/cub/101.White_Pelican/White_Pelican_0051_97833.jpg,No,"Yes, the bird in the picture has a multi-colored wing and a chicken-like-marsh shape.",0.37262599570350374,,
135,crop_only,cot/cub/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,No,Yes,0.9371009501048514,,
3348,crop_only,cot/cub/140.Summer_Tanager/Summer_Tanager_0038_139371.jpg,Yes,No.,0.0,,
2206,crop_only,cot/cub/092.Nighthawk/Nighthawk_0053_84436.jpg,Yes,No.,0.2772330320208365,,
3024,crop_only,cot/cub/126.Nelson_Sharp_tailed_Sparrow/Nelson_Sharp_Tailed_Sparrow_0003_796917.jpg,Yes,No.,0.29515753735384065,,
3249,crop_only,cot/cub/137.Cliff_Swallow/Cliff_Swallow_0012_133527.jpg,Yes,No.,0.009174311926605509,,
1624,crop_only,cot/cub/070.Green_Violetear/Green_Violetear_0003_795662.jpg,Yes,No.,0.24602153450260714,,
3306,crop_only,cot/cub/139.Scarlet_Tanager/Scarlet_Tanager_0050_137874.jpg,Yes,No.,0.0,,
4281,crop_only,cot/cub/177.Prothonotary_Warbler/Prothonotary_Warbler_0040_173447.jpg,Yes,No.,0.15754180636831255,,
4331,crop_only,cot/cub/179.Tennessee_Warbler/Tennessee_Warbler_0076_174807.jpg,No,Yes,0.20525070736119483,,
3838,crop_only,cot/cub/159.Black_and_white_Warbler/Black_And_White_Warbler_0071_160308.jpg,Yes,No.,0.26983306885141034,,
437,crop_only,cot/cub/021.Eastern_Towhee/Eastern_Towhee_0134_22624.jpg,Yes,No.,0.8430232558139533,,
35,crop_only,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,Yes,No,0.8174865646961555,,
3185,crop_only,cot/cub/133.White_throated_Sparrow/White_Throated_Sparrow_0033_129016.jpg,Yes,No.,0.3047764346907639,,
2017,crop_only,cot/cub/085.Horned_Lark/Horned_Lark_0056_74896.jpg,No,Yes.,0.7232432432432433,,
4714,crop_only,cot/cub/193.Bewick_Wren/Bewick_Wren_0109_185170.jpg,No,Yes.,0.1605239110569601,,
1644,crop_only,cot/cub/071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0017_797081.jpg,Yes,No.,0.0,,
40,crop_only,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,No,Yes.,0.9032516939080261,,
2273,crop_only,cot/cub/095.Baltimore_Oriole/Baltimore_Oriole_0041_87367.jpg,Yes,No.,0.03617747440273033,,
186,crop_only,cot/cub/010.Red_winged_Blackbird/Red_Winged_Blackbird_0053_4072.jpg,Yes,No.,0.8587786259541984,,
3596,crop_only,cot/cub/149.Brown_Thrasher/Brown_Thrasher_0065_155229.jpg,No,Yes.,0.367298713455633,,
4343,crop_only,cot/cub/180.Wilson_Warbler/Wilson_Warbler_0067_175261.jpg,Yes,No.,0.3453756520891229,,
4608,crop_only,cot/cub/190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0042_182373.jpg,No,"Yes, the bird in the picture has a solid breast and red underparts.",0.39923080530931926,,
3889,crop_only,cot/cub/161.Blue_winged_Warbler/Blue_Winged_Warbler_0066_162062.jpg,Yes,No.,0.03152724365076343,,
4191,full,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,"Yes, the bird in the picture has a squared tail and a red bill.",,,
1955,full,cot/cub/083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0037_73220.jpg,No,"Yes, the bird in the picture has a buff wing and a blue crown.",,,
2185,full,cot/cub/092.Nighthawk/Nighthawk_0084_84510.jpg,No,"Yes, the bird in the picture has grey underparts and an orange throat.",,,
2416,full,cot/cub/102.Western_Wood_Pewee/Western_Wood_Pewee_0014_98094.jpg,No,"Yes, the bird in the picture has a purple bill and a green eye.",,,
2341,full,cot/cub/098.Scott_Oriole/Scott_Oriole_0018_795840.jpg,Yes,"No, the bird in the picture does not have yellow underparts and white wing. The bird is black and yellow, with yellow underparts and a black wing.",,,
45,full,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,No,"Yes, the bird in the picture has a buff eye and a buff wing.",,,
2056,full,cot/cub/087.Mallard/Mallard_0048_76995.jpg,No,"Yes, the bird in the picture has a grey forehead and a solid white breast.",,,
3303,full,cot/cub/138.Tree_Swallow/Tree_Swallow_0029_134882.jpg,No,"Yes, the bird in the picture has a pointed tail and a black eye.",,,
1056,full,cot/cub/047.American_Goldfinch/American_Goldfinch_0123_32505.jpg,No,"Yes, the bird in the picture has long-wings and a red upper.",,,
2399,full,cot/cub/101.White_Pelican/White_Pelican_0051_97833.jpg,No,"Yes, the bird in the picture has a multi-colored wing and a chicken-like marsh shape.",,,
311,full,cot/cub/015.Lazuli_Bunting/Lazuli_Bunting_0042_14820.jpg,No,"Yes, the bird in the picture has a brown throat and grey underparts.",,,
135,full,cot/cub/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,No,"Yes, the bird in the picture has a grey upper body and is perching on a rock.",,,
2652,full,cot/cub/112.Great_Grey_Shrike/Great_Grey_Shrike_0068_797060.jpg,No,"Yes, the bird in the picture has rounded-wings and a brown throat.",,,
4545,full,cot/cub/187.American_Three_toed_Woodpecker/American_Three_Toed_Woodpecker_0017_179830.jpg,No,"Yes, the bird in the picture has yellow wings and grey wings.",,,
1912,full,cot/cub/081.Pied_Kingfisher/Pied_Kingfisher_0054_72296.jpg,No,"Yes, the bird in the picture has purple wings and a chicken-like marsh shape.",,,
3046,full,cot/cub/127.Savannah_Sparrow/Savannah_Sparrow_0025_119124.jpg,No,"Yes, the bird in the picture has an orange belly and a brown belly.",,,
4331,full,cot/cub/179.Tennessee_Warbler/Tennessee_Warbler_0076_174807.jpg,No,"Yes, the bird in the picture has a crested head and a brown throat.",,,
843,full,cot/cub/038.Great_Crested_Flycatcher/Great_Crested_Flycatcher_0036_29693.jpg,No,"Yes, the bird in the picture has a white breast and white upperparts.",,,
2017,full,cot/cub/085.Horned_Lark/Horned_Lark_0056_74896.jpg,No,"Yes, the bird in the picture has brown wings and a brown breast.",,,
805,full,cot/cub/037.Acadian_Flycatcher/Acadian_Flycatcher_0049_795580.jpg,No,"Yes, the bird in the picture has a solid wing and a yellow throat.",,,
4714,full,cot/cub/193.Bewick_Wren/Bewick_Wren_0109_185170.jpg,No,"Yes, the bird in the picture has rufous upper feathers and an iridescent crown.",,,
67,full,cot/cub/003.Sooty_Albatross/Sooty_Albatross_0067_796376.jpg,No,"Yes, the bird in the picture has a blue crown and a forked tail.",,,
40,full,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,No,"Yes, the bird in the picture has orange wings and a buff eye.",,,
186,full,cot/cub/010.Red_winged_Blackbird/Red_Winged_Blackbird_0053_4072.jpg,Yes,"No, the bird in the picture does not have a plain head and black bill. It has a red head and a black bill.",,,
1785,full,cot/cub/076.Dark_eyed_Junco/Dark_Eyed_Junco_0083_66449.jpg,No,"Yes, the bird in the picture has an olive eye and a green leg.",,,
3596,full,cot/cub/149.Brown_Thrasher/Brown_Thrasher_0065_155229.jpg,No,"Yes, the bird in the picture has a rufous eye and a red upper.",,,
907,full,cot/cub/041.Scissor_tailed_Flycatcher/Scissor_Tailed_Flycatcher_0103_41938.jpg,No,"Yes, the bird in the picture has a striped head and a white crown.",,,
2897,full,cot/cub/121.Grasshopper_Sparrow/Grasshopper_Sparrow_0121_116110.jpg,No,"Yes, the bird in the picture has a duck-like shape and a brown breast.",,,
4608,full,cot/cub/190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0042_182373.jpg,No,"Yes, the bird in the picture has a solid breast and red underparts.",,,
3255,full,cot/cub/137.Cliff_Swallow/Cliff_Swallow_0036_133168.jpg,No,"Yes, the bird in the picture has a red belly and a purple underbelly.",,,
4191,lowres_full_highrescrop,cot/cub/174.Palm_Warbler/Palm_Warbler_0106_169571.jpg,No,Yes,0.5565794177225243,,
2341,lowres_full_highrescrop,cot/cub/098.Scott_Oriole/Scott_Oriole_0018_795840.jpg,Yes,No.,0.33096346117619163,,
3303,lowres_full_highrescrop,cot/cub/138.Tree_Swallow/Tree_Swallow_0029_134882.jpg,No,Yes,0.25523012552301244,,
2399,lowres_full_highrescrop,cot/cub/101.White_Pelican/White_Pelican_0051_97833.jpg,No,"Yes, the bird in the picture has a multi-colored wing and a chicken-like-marsh shape.",0.37262599570350374,,
311,lowres_full_highrescrop,cot/cub/015.Lazuli_Bunting/Lazuli_Bunting_0042_14820.jpg,No,Yes,0.05553809989293861,,
135,lowres_full_highrescrop,cot/cub/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,No,Yes,0.9371009501048514,,
1624,lowres_full_highrescrop,cot/cub/070.Green_Violetear/Green_Violetear_0003_795662.jpg,Yes,No.,0.24602153450260714,,
3306,lowres_full_highrescrop,cot/cub/139.Scarlet_Tanager/Scarlet_Tanager_0050_137874.jpg,Yes,No.,0.0,,
4281,lowres_full_highrescrop,cot/cub/177.Prothonotary_Warbler/Prothonotary_Warbler_0040_173447.jpg,Yes,No.,0.15754180636831255,,
4331,lowres_full_highrescrop,cot/cub/179.Tennessee_Warbler/Tennessee_Warbler_0076_174807.jpg,No,Yes,0.20525070736119483,,
437,lowres_full_highrescrop,cot/cub/021.Eastern_Towhee/Eastern_Towhee_0134_22624.jpg,Yes,No.,0.8430232558139533,,
2017,lowres_full_highrescrop,cot/cub/085.Horned_Lark/Horned_Lark_0056_74896.jpg,No,Yes.,0.7232432432432433,,
4714,lowres_full_highrescrop,cot/cub/193.Bewick_Wren/Bewick_Wren_0109_185170.jpg,No,Yes,0.1605239110569601,,
40,lowres_full_highrescrop,cot/cub/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,No,Yes,0.9032516939080261,,
