case,qid,area,base,mix,gold,pred,prompt
mix_win,4191,0.15616,0.0,1.0,No,No.,Does the bird in the picture have squared_tail tail and red bill? 
box_bad,833,,1.0,1.0,Yes,Yes.,Does the bird in the picture have olive forehead and olive crown? 
crop_bad,2185,0.38750399999999996,1.0,1.0,No,No.,Does the bird in the picture have grey under and orange throat? 
mix_win,2416,0.0604,0.0,1.0,No,No.,Does the bird in the picture have purple bill and green eye? 
crop_bad,4001,0.016992000000000007,1.0,1.0,No,No.,Does the bird in the picture have white upper and red nape? 
mix_win,1608,0.182964,0.0,1.0,Yes,Yes.,Does the bird in the picture have blue nape and black underparts? 
box_bad,354,,1.0,1.0,Yes,Yes.,Does the bird in the picture have black eye and solid belly? 
crop_bad,2056,0.287648,1.0,1.0,No,No.,Does the bird in the picture have grey forehead and solid breast? 
box_bad,976,,1.0,1.0,Yes,"Yes, the bird in the picture has solid wing and solid tail.",Does the bird in the picture have solid wing and solid tail? 
mix_win,311,0.038180000000000006,0.0,1.0,No,No.,Does the bird in the picture have brown throat and grey underparts? 
crop_bad,2119,0.20505600000000004,1.0,0.0,No,Yes.,Does the bird in the picture have large_(16_-_32_in) size and grey leg? 
box_small,3024,0.016000000000000004,1.0,1.0,Yes,Yes.,Does the bird in the picture have black crown and buff crown? 
box_bad,2283,,1.0,1.0,No,"No, the bird in the picture does not have green eye and grey eye. The bird has a yellow and black eye.",Does the bird in the picture have green eye and grey eye? 
box_small,491,0.020295999999999998,1.0,1.0,No,No.,Does the bird in the picture have purple bill and white back? 
crop_bad,4545,0.17560399999999998,1.0,1.0,No,No.,Does the bird in the picture have yellow wing and grey wing? 
box_small,1624,0.014800000000000008,0.0,0.0,Yes,No.,Does the bird in the picture have olive upper and long-wings wing? 
crop_bad,2668,0.09398,1.0,1.0,Yes,Yes.,Does the bird in the picture have grey throat and grey leg? 
crop_bad,3185,0.14616000000000004,1.0,0.0,Yes,No.,Does the bird in the picture have buff nape and white throat? 
box_bad,2584,,1.0,1.0,Yes,Yes.,Does the bird in the picture have black crown and shorter_than_head bill? 
mix_win,4714,0.059584000000000026,0.0,1.0,No,No.,Does the bird in the picture have rufous upper and iridescent crown? 
mix_lose,1629,0.013804000000000012,1.0,0.0,No,Yes.,Does the bird in the picture have grey back and striped wing? 
box_bad,1699,,0.0,0.0,No,Yes.,Does the bird in the picture have pink eye and grey forehead? 
box_small,1641,0.028799999999999992,1.0,1.0,Yes,Yes.,Does the bird in the picture have grey forehead and shorter_than_head bill? 
crop_bad,40,0.38750400000000007,1.0,0.0,No,Yes.,Does the bird in the picture have orange wing and buff eye? 
box_bad,2574,,1.0,1.0,No,No.,Does the bird in the picture have blue crown and white eye? 
crop_bad,711,0.35028400000000004,1.0,1.0,No,No.,Does the bird in the picture have green belly and grey throat? 
crop_bad,1785,0.35531999999999997,1.0,0.0,No,Yes.,Does the bird in the picture have olive eye and green leg? 
box_bad,3596,,0.0,0.0,No,Yes.,Does the bird in the picture have rufous eye and red upper? 
mix_win,907,0.11916799999999998,0.0,1.0,No,No.,Does the bird in the picture have striped head and white crown? 
box_bad,4343,,0.0,0.0,Yes,No.,Does the bird in the picture have grey under and shorter_than_head bill? 
crop_bad,2897,0.35123600000000005,1.0,0.0,No,Yes.,Does the bird in the picture have duck-like shape and brown breast? 
crop_bad,4608,0.086,1.0,1.0,No,No.,Does the bird in the picture have solid breast and red underparts? 
crop_bad,1257,0.2288,1.0,0.0,No,Yes.,Does the bird in the picture have swallow-like shape and red breast? 
